predict_id,filename,width,height,timestamp,class,class_name,confidence,x_person,y_person,w_person,h_person,x_clothing,y_clothing,w_clothing,h_clothing,mean_color_bgr,track_id
3c428c47-573f-4141-a0aa-aea9e77a3e9b,testvideo.mp4,480,854,0.0,1,long sleeve top,0.88,0,238,113,389,0,49,112,153,[     176.66         215      229.52],1
ed7627e2-515d-44f7-9e02-9d6738b5385a,testvideo.mp4,480,854,0.0,7,trousers,0.61,0,238,113,389,0,170,92,201,[     210.07      223.56      229.32],1
de0b18fe-75d1-4243-a385-5b38b5474c14,testvideo.mp4,480,854,0.0,4,vest,0.79,314,173,166,597,30,38,129,187,[     111.53      136.09      194.92],2
d069225b-e6b6-4907-9523-d8a4224ac277,testvideo.mp4,480,854,0.0,6,shorts,0.92,314,173,166,597,18,205,115,127,[     226.04      193.68      184.68],2
d5e18753-eb87-4fae-8de0-980c1fa6fe6a,testvideo.mp4,480,854,0.5,1,long sleeve top,0.95,0,230,133,435,0,58,133,169,[     188.57       224.3      237.22],1
776fd8a6-d0e4-49ed-b35b-2c1b15826641,testvideo.mp4,480,854,0.5,7,trousers,0.9,0,230,133,435,25,190,108,220,[      219.7      227.66       233.3],1
b46f609c-6b0d-4fa3-a2be-398fb6f16655,testvideo.mp4,480,854,0.5,1,long sleeve top,0.72,279,143,201,604,3,75,198,195,[     105.68      131.42      188.58],2
e76f7157-ed6a-4383-9c1b-710319229ab6,testvideo.mp4,480,854,0.5,6,shorts,0.9,279,143,201,604,63,242,138,125,[     218.13      182.59         178],2
d71ed3d4-b655-48f5-b9ec-fbf97214f3c9,testvideo.mp4,480,854,1.0,1,long sleeve top,0.94,2,230,153,449,0,60,151,162,[     189.32      222.59      235.16],1
43bad32e-ab7d-4221-8750-895bd6796559,testvideo.mp4,480,854,1.0,7,trousers,0.9,2,230,153,449,25,173,128,252,[      212.5      221.12      227.12],1
427e3354-3808-4b88-b8e4-a809b001f310,testvideo.mp4,480,854,1.0,3,long sleeve outwear,0.66,298,144,181,620,9,78,166,215,[      135.2      150.33      197.96],2
56fa2a12-8852-4b4c-8170-6d9c7618e190,testvideo.mp4,480,854,1.0,6,shorts,0.93,298,144,181,620,41,245,126,121,[     221.81      190.27      188.49],2
760f111e-47c5-4488-810d-aec80243f301,testvideo.mp4,480,854,1.5,1,long sleeve top,0.94,3,225,160,458,0,59,157,170,[     190.74      222.47      235.54],1
4bc98db6-c57b-4e05-975f-e085c1cd9fb9,testvideo.mp4,480,854,1.5,7,trousers,0.88,3,225,160,458,21,177,137,256,[     213.58      221.23      227.86],1
5024cd8a-4925-49a2-9e37-385377ec793e,testvideo.mp4,480,854,1.5,1,long sleeve top,0.43,304,146,176,614,0,86,176,224,[     215.43      214.24      176.03],2
908ae745-5b92-4f17-9c0a-69e716fd6626,testvideo.mp4,480,854,1.5,7,trousers,0.74,304,146,176,614,35,247,141,324,[     208.76      212.27      217.72],2
1a54414d-4528-4cc5-8601-a89ca778e21b,testvideo.mp4,480,854,2.0,1,long sleeve top,0.93,19,218,160,470,6,61,153,176,[     179.24      214.98      228.17],1
9fc40c66-8baf-447d-a538-777dd01443a6,testvideo.mp4,480,854,2.0,7,trousers,0.89,19,218,160,470,17,195,117,246,[     216.08      223.15       228.6],1
0764d769-796f-480a-be66-961c4127e254,testvideo.mp4,480,854,2.0,1,long sleeve top,0.94,319,148,161,622,3,78,158,232,[      203.2      207.04      164.48],2
12203c88-a343-404d-b66a-0552377e12ce,testvideo.mp4,480,854,2.0,7,trousers,0.91,319,148,161,622,33,259,128,307,[     210.48       216.7      218.13],2
6b91b9f9-3be6-41c6-9b86-a0610fe03259,testvideo.mp4,480,854,2.5,1,long sleeve top,0.93,21,219,162,467,0,67,161,166,[     194.56      225.63      237.36],1
023b0aeb-fc5b-4c96-a64f-14bd073260aa,testvideo.mp4,480,854,2.5,7,trousers,0.76,21,219,162,467,19,178,126,264,[     210.78      219.76       226.1],1
9c3cce5d-137e-4090-8788-c7e8c29b8012,testvideo.mp4,480,854,2.5,1,long sleeve top,0.88,321,166,158,597,4,69,149,218,[     218.37      221.82       186.4],2
2801727f-97b0-4d42-8c24-a4c06fec9298,testvideo.mp4,480,854,2.5,7,trousers,0.89,321,166,158,597,35,253,117,302,[     211.24      217.27      220.33],2
e4522f85-2e8d-4b2f-a553-eca60040430f,testvideo.mp4,480,854,3.0,3,long sleeve outwear,0.38,16,216,176,471,2,62,148,175,[     171.74      208.64      222.65],1
5bc940a2-a817-40d5-8a85-12b6f0ed5c18,testvideo.mp4,480,854,3.0,7,trousers,0.85,16,216,176,471,37,204,106,240,[     212.21      221.31      227.03],1
ed1b7387-e458-4963-b829-b8e21d3a830f,testvideo.mp4,480,854,3.0,1,long sleeve top,0.84,312,168,167,587,28,67,139,226,[     219.18      220.54       180.7],2
52938552-5bdf-450c-941c-2eca3de4f342,testvideo.mp4,480,854,3.0,7,trousers,0.8,312,168,167,587,39,241,93,322,[     214.27      217.82      219.26],2
93c8435d-fdee-48ba-88db-e4593e4f1aca,testvideo.mp4,480,854,3.5,7,trousers,0.87,19,217,161,472,28,193,114,254,[     213.92      222.62      229.12],1
2864cdcb-19fd-49d3-858f-1342ece5eeef,testvideo.mp4,480,854,3.5,10,long sleeve dress,0.76,19,217,161,472,2,58,147,179,[     128.92      157.08      187.57],1
eaec9ffa-b827-4a0c-8a1c-3284da878f7a,testvideo.mp4,480,854,3.5,1,long sleeve top,0.37,314,162,165,591,29,69,133,230,[     215.45      215.38      175.91],2
cc4b6cc7-c812-4ca1-8db4-dc7258225c8d,testvideo.mp4,480,854,3.5,7,trousers,0.87,314,162,165,591,21,235,112,333,[     213.85      216.88      217.08],2
a5de91fe-3b4a-4759-b22e-57810c218925,testvideo.mp4,480,854,4.0,1,long sleeve top,0.9,29,214,169,475,13,63,156,180,[     183.07      217.08      230.07],1
052693c9-7ad0-43aa-b708-41e12dea4ee5,testvideo.mp4,480,854,4.0,7,trousers,0.87,29,214,169,475,15,193,122,254,[     213.53      222.59      229.56],1
ae71a4b1-206b-4d8b-aeb5-a92629dc8287,testvideo.mp4,480,854,4.0,1,long sleeve top,0.89,303,166,177,586,9,79,167,219,[     213.91      215.27      177.78],2
dc0eb0d4-9de8-46da-88e1-02aff61a21db,testvideo.mp4,480,854,4.0,7,trousers,0.89,303,166,177,586,12,238,139,326,[     213.06      217.55      219.55],2
7642fc55-2bf8-4143-b720-ddbae2be6d9c,testvideo.mp4,480,854,4.5,4,vest,0.47,17,214,186,475,13,55,138,178,[     177.45      211.31      225.39],1
6775c7cc-3e83-4927-b9e5-0c1e4547af29,testvideo.mp4,480,854,4.5,7,trousers,0.86,17,214,186,475,42,198,97,269,[     209.38      218.64       225.9],1
d0795247-52ab-4caf-96f8-4da9cfb572c4,testvideo.mp4,480,854,4.5,1,long sleeve top,0.36,270,169,195,582,2,54,188,221,[     217.73      219.15      183.06],2
53900308-bf0b-4737-b9e5-fb30346984b1,testvideo.mp4,480,854,4.5,10,long sleeve dress,0.78,270,169,195,582,4,54,186,220,[     201.49      204.98      179.38],2
21861c31-e8b7-4387-871b-ec3d2290e258,testvideo.mp4,480,854,5.0,1,long sleeve top,0.94,22,216,170,482,26,62,134,177,[     44.677      4.9263      198.48],1
35e4c665-8a6c-4612-be36-6f2fdd8b1413,testvideo.mp4,480,854,5.0,7,trousers,0.89,22,216,170,482,31,197,103,246,[     228.42      223.31      230.01],1
49a44e2d-acaf-430e-8d8e-4d4a53a49c25,testvideo.mp4,480,854,5.0,7,trousers,0.85,244,188,189,568,35,250,136,277,[     225.39      219.72       225.7],2
13ef549e-2b3a-49cb-a024-f62d00c904e5,testvideo.mp4,480,854,5.0,10,long sleeve dress,0.35,244,188,189,568,6,67,160,242,[     88.842      63.585      47.629],2
055e3d85-0802-4435-9b13-4ed7cd5dd691,testvideo.mp4,480,854,5.5,0,short sleeve top,0.64,21,222,176,463,7,58,167,166,[     42.545      4.9546      195.83],1
e8f2754b-cbca-4487-85ad-f97203a89774,testvideo.mp4,480,854,5.5,7,trousers,0.9,21,222,176,463,50,189,97,227,[     207.65      200.24       209.4],1
d52a7492-3fa9-466c-b309-5db54f72e9fe,testvideo.mp4,480,854,5.5,1,long sleeve top,0.79,237,188,187,563,0,51,186,235,[     89.025      62.698      44.645],2
dda10a48-7169-49ac-8005-65f0e8180707,testvideo.mp4,480,854,5.5,7,trousers,0.88,237,188,187,563,32,241,116,265,[     193.01      186.19      193.64],2
c98c1a3b-df39-4662-8914-45913ad2f571,testvideo.mp4,480,854,6.0,1,long sleeve top,0.94,24,215,166,478,0,61,159,178,[     42.164      4.2321      194.01],1
41097161-23bd-46e3-9372-bfda39031cb1,testvideo.mp4,480,854,6.0,7,trousers,0.9,24,215,166,478,48,199,104,248,[     216.72      210.89      218.11],1
