predict_id,filename,width,height,timestamp,class,class_name,confidence,x_person,y_person,w_person,h_person,x_clothing,y_clothing,w_clothing,h_clothing,mean_color_bgr,track_id
3ac52417-230f-4c40-b4cb-0a68746833e9,testvideo.mp4,480,854,0.0,1,long sleeve top,0.88,0,238,113,389,0,49,112,153,[     176.66         215      229.53],1
31426898-b1fd-42b3-92bb-06ea56d7427d,testvideo.mp4,480,854,0.5,1,long sleeve top,0.95,0,230,133,435,0,58,133,169,[      188.6      224.32      237.23],1
1168dfc1-87f8-43f7-8933-2cb5a01967d7,testvideo.mp4,480,854,0.5,1,long sleeve top,0.72,279,143,201,604,3,75,198,195,[     105.67      131.41      188.57],2
03d0ed83-b46e-40fe-bd45-d9ff842d07a4,testvideo.mp4,480,854,1.0,1,long sleeve top,0.94,2,230,153,449,0,60,151,162,[     189.38      222.65      235.21],1
39f31d46-a9d3-45ac-8622-63f7a16e1a72,testvideo.mp4,480,854,1.5,1,long sleeve top,0.94,3,225,160,458,0,59,157,170,[      190.6      222.33      235.43],1
31031fe3-767b-4308-865c-b3968195b3c2,testvideo.mp4,480,854,1.5,1,long sleeve top,0.43,304,146,176,614,0,86,176,224,[     215.29      214.13      175.93],2
b3fa7b61-0802-4b9e-8e53-8db8239c703d,testvideo.mp4,480,854,2.0,1,long sleeve top,0.93,19,218,160,470,6,61,153,176,[     178.96      214.71      227.99],1
035fb04e-d863-45a6-934f-cbd185800057,testvideo.mp4,480,854,2.0,1,long sleeve top,0.94,319,148,161,622,3,78,158,232,[      203.2      207.04      164.48],2
2b626036-fcb4-4a13-b582-6ec7278b4b3b,testvideo.mp4,480,854,2.5,1,long sleeve top,0.93,21,219,162,467,0,67,161,166,[     194.32      225.44       237.2],1
b5779bd5-bfc9-4303-a331-c98c2bb1928e,testvideo.mp4,480,854,2.5,1,long sleeve top,0.88,321,166,158,597,4,69,149,218,[     204.43      209.47      185.54],2
501c3b96-41ac-4b7c-b7e9-2000654493dc,testvideo.mp4,480,854,3.0,1,long sleeve top,0.84,312,168,167,587,28,67,139,226,[     208.43      211.12      170.57],2
877d172c-cd7a-4bb5-893d-2051cbb655f1,testvideo.mp4,480,854,3.5,1,long sleeve top,0.37,314,162,165,591,29,69,133,230,[     215.45      215.38      175.91],2
cd02fcb9-d5ea-4013-b547-08ba0e35c32b,testvideo.mp4,480,854,4.0,1,long sleeve top,0.9,29,214,169,475,13,63,156,180,[     183.08      217.09      230.07],1
3c1fd395-cfc2-4c8b-970d-8b7f1dad7d3f,testvideo.mp4,480,854,4.0,1,long sleeve top,0.89,303,166,177,586,9,79,167,219,[     213.62      215.01      177.61],2
066c8f6a-4b6b-41a4-a021-cb7e220a55a2,testvideo.mp4,480,854,4.5,1,long sleeve top,0.36,270,169,195,582,2,54,188,221,[     217.37      218.83      182.77],2
54da3fb5-ab6f-4e91-92d7-23f67b2c2b5f,testvideo.mp4,480,854,5.0,1,long sleeve top,0.94,22,216,170,482,26,62,134,177,[     44.661      4.8951      198.49],1
eb50123d-6234-41d6-a355-451d8148b10d,testvideo.mp4,480,854,5.5,1,long sleeve top,0.79,237,188,187,563,0,51,186,235,[     88.991       62.68      44.654],2
38c8b4c8-30e5-45ad-8f29-85de67bed474,testvideo.mp4,480,854,6.0,1,long sleeve top,0.94,24,215,166,478,0,61,159,178,[     42.165      4.2339         194],1
a883714d-921a-44f8-821c-3c2a921d94e6,testvideo.mp4,480,854,6.0,1,long sleeve top,0.92,249,173,191,571,7,65,182,239,[     86.902      59.408      40.182],2
cb7c961d-f807-4aad-b05a-656aded4d3e9,testvideo.mp4,480,854,6.5,1,long sleeve top,0.84,23,215,162,483,0,65,154,177,[     44.318      5.8307      197.51],1
9cee7dd5-733c-4b13-9655-9680c5a3b45f,testvideo.mp4,480,854,6.5,1,long sleeve top,0.92,237,158,197,599,1,69,193,244,[     86.275      60.451      42.753],2
f729995d-ec40-4060-b685-0bac09674313,testvideo.mp4,480,854,7.0,1,long sleeve top,0.93,29,231,161,469,1,73,153,176,[     42.933      5.1919      195.97],1
6ee8fecb-c2f0-4faf-8a08-e80d3242228c,testvideo.mp4,480,854,7.0,1,long sleeve top,0.92,242,166,202,596,6,87,195,246,[     85.229      58.687      40.274],2
fd7beb00-38ea-4ae7-879e-5d96b5aa8537,testvideo.mp4,480,854,7.5,1,long sleeve top,0.89,28,229,161,478,2,58,138,183,[     114.01      133.56      126.54],1
524f7bd4-cab7-41cb-90f4-6cfd524010e4,testvideo.mp4,480,854,7.5,1,long sleeve top,0.93,234,180,207,599,0,81,206,206,[     220.32      215.26      223.77],2
56af9c4a-21f8-4739-861b-256972a1eda7,testvideo.mp4,480,854,8.0,1,long sleeve top,0.93,241,173,204,576,5,61,198,200,[     215.94       209.6      217.19],2
0173fcd1-d436-452b-a234-13a43ba00551,testvideo.mp4,480,854,8.5,1,long sleeve top,0.84,22,210,166,483,0,58,159,186,[     49.601      51.411      46.781],1
ade414a6-fa58-450b-a063-c88d9a4b23ba,testvideo.mp4,480,854,8.5,1,long sleeve top,0.94,231,161,210,594,10,68,197,204,[     224.12      215.23      220.72],2
420a548e-ff52-4484-aa35-6abb6509af64,testvideo.mp4,480,854,9.0,1,long sleeve top,0.75,36,207,159,484,8,68,148,180,[     166.87      184.82      187.73],1
37c1dfe3-166f-4d4c-a6c2-cf71e22b8d70,testvideo.mp4,480,854,9.0,1,long sleeve top,0.94,233,159,211,593,4,76,207,202,[     224.95      215.12      219.73],2
b0cc164a-9a1f-4f2e-8b4d-b0ee79d036bb,testvideo.mp4,480,854,9.5,1,long sleeve top,0.83,42,208,173,482,19,71,153,186,[     113.57      128.92      116.59],1
d426fab1-1197-4955-a7f4-e06f27169e22,testvideo.mp4,480,854,9.5,1,long sleeve top,0.94,232,160,202,594,0,82,199,195,[     230.33       220.3       224.1],2
d6a960a2-ea42-429c-aea8-a20657ad0e33,testvideo.mp4,480,854,10.0,1,long sleeve top,0.91,54,210,155,477,17,63,118,182,[     45.423      48.059      42.235],1
f1fac8e0-4ef1-42c1-83c3-333b5b3c1b4e,testvideo.mp4,480,854,10.0,1,long sleeve top,0.94,236,162,211,592,12,78,199,197,[     231.91      221.88      225.07],2
15f27033-a83f-45ff-8d1d-8595b04894b1,testvideo.mp4,480,854,10.5,1,long sleeve top,0.45,18,235,153,438,0,42,75,189,[     139.83      156.77       138.4],1
6def37d3-4b68-4d26-b4c9-9d350f407591,testvideo.mp4,480,854,10.5,1,long sleeve top,0.9,237,195,217,564,23,77,189,182,[     222.81      213.45      217.44],2
059ffcc1-8c36-4f79-899e-c8e0c994633f,testvideo.mp4,480,854,11.0,1,long sleeve top,0.87,273,163,198,613,57,64,140,223,[     217.85      205.91      209.53],2
