predict_id,filename,width,height,timestamp,class,class_name,confidence,x_person,y_person,w_person,h_person,x_clothing,y_clothing,w_clothing,h_clothing,mean_color_bgr,track_id
9122069e-5819-463b-9050-101d71477ab1,testvideo.mp4,480,854,0.0,1,long sleeve top,0.88,0,238,113,389,0,49,112,153,[     176.63      214.97       229.5],1
0eb5db03-14cf-4294-9d0b-445d19dbda49,testvideo.mp4,480,854,0.0,7,trousers,0.61,0,238,113,389,0,170,92,201,[     210.21      223.71      229.45],1
eaf7efc1-e928-4f52-b37c-f201c0357ee3,testvideo.mp4,480,854,0.0,4,vest,0.79,314,173,166,597,30,38,129,187,[     111.59      136.14      194.95],2
968957fa-381f-4ab5-a001-5d532f6af386,testvideo.mp4,480,854,0.0,6,shorts,0.92,314,173,166,597,18,205,115,127,[        226      193.64      184.65],2
f4d17895-10c1-4bdf-aeb6-30a21e8b5a91,testvideo.mp4,480,854,0.5,1,long sleeve top,0.95,0,230,133,435,0,58,133,169,[      188.4      224.16      237.11],1
be6d957f-75fe-4461-ae77-0bd91e4844c1,testvideo.mp4,480,854,0.5,7,trousers,0.9,0,230,133,435,25,190,108,220,[      219.7      227.66       233.3],1
bbfed94f-3ac3-4aad-b6be-70ac66d5e714,testvideo.mp4,480,854,0.5,1,long sleeve top,0.72,279,143,201,604,3,75,198,195,[     105.67      131.41      188.57],2
7172892c-4b6c-466a-a59a-6249b721b7a5,testvideo.mp4,480,854,0.5,6,shorts,0.9,279,143,201,604,63,242,138,125,[     218.15       182.6      177.98],2
2fb7df00-24f8-45e6-b96a-d1d6a5304753,testvideo.mp4,480,854,1.0,1,long sleeve top,0.94,2,230,153,449,0,60,151,162,[     189.68      222.89       235.4],1
2110bd49-5db0-421e-9867-eeab0edd6f13,testvideo.mp4,480,854,1.0,7,trousers,0.9,2,230,153,449,25,173,128,252,[     212.49      221.11      227.11],1
4079b11b-2fa9-45be-8c2b-726b98da9852,testvideo.mp4,480,854,1.0,3,long sleeve outwear,0.66,298,144,181,620,9,78,166,215,[      135.2      150.33      197.96],2
557e33a2-d955-40c7-a2df-ac1e7c6cbbb6,testvideo.mp4,480,854,1.0,6,shorts,0.93,298,144,181,620,41,245,126,121,[     205.54      174.39       175.5],2
d6c3e9dd-4f5c-4b0c-9a23-8c4875cf5812,testvideo.mp4,480,854,1.5,1,long sleeve top,0.94,3,225,160,458,0,59,157,170,[     190.74      222.47      235.54],1
ec8efd5b-bfe7-46f3-8a8a-2fea7a9c883f,testvideo.mp4,480,854,1.5,7,trousers,0.88,3,225,160,458,21,177,137,256,[     213.67      221.32      227.93],1
993dd892-3ebe-4378-ae40-0b79eb896b30,testvideo.mp4,480,854,1.5,7,trousers,0.74,304,146,176,614,35,247,141,324,[        209       212.5      217.91],2
5cf08c79-6f73-4a64-ad96-3826810cdd3b,testvideo.mp4,480,854,2.0,1,long sleeve top,0.93,19,218,160,470,6,61,153,176,[     179.24      214.98      228.17],1
acada3fe-7ca7-487e-96d8-d637fd8607a5,testvideo.mp4,480,854,2.0,7,trousers,0.89,19,218,160,470,17,195,117,246,[     216.14       223.2      228.64],1
5f44c687-701b-4886-a4b6-5d48b8110293,testvideo.mp4,480,854,2.0,1,long sleeve top,0.94,319,148,161,622,3,78,158,232,[     203.04      206.88       164.4],2
fe77fea8-e1b8-4201-88b9-2d3817a5413f,testvideo.mp4,480,854,2.0,7,trousers,0.91,319,148,161,622,33,259,128,307,[     210.07      216.29       217.8],2
7e0c0f91-ba74-4ffe-8891-0d121fa2b56d,testvideo.mp4,480,854,2.5,1,long sleeve top,0.93,21,219,162,467,0,67,161,166,[     194.55      225.63      237.36],1
2eac85fa-fd43-44b5-afc6-f050096d8873,testvideo.mp4,480,854,2.5,7,trousers,0.76,21,219,162,467,19,178,126,264,[     210.73      219.71      226.06],1
d5ea9520-a9a1-4395-a5a0-7a23b60c722d,testvideo.mp4,480,854,2.5,1,long sleeve top,0.88,321,166,158,597,4,69,149,218,[     218.32      221.77      186.38],2
471329b3-234c-4b02-b4be-a3cb6bfcc32c,testvideo.mp4,480,854,2.5,7,trousers,0.89,321,166,158,597,35,253,117,302,[     211.24      217.27      220.33],2
28dead3c-ab86-49a2-b69e-3e17cb82b7c3,testvideo.mp4,480,854,3.0,7,trousers,0.85,16,216,176,471,37,204,106,240,[     212.38      221.47      227.18],1
a5aca9f5-60c8-4b52-8aa0-2822e9412e4a,testvideo.mp4,480,854,3.0,1,long sleeve top,0.84,312,168,167,587,28,67,139,226,[     219.11      220.48      180.63],2
9dcda90e-6833-4f32-a44b-fb737c9aabf1,testvideo.mp4,480,854,3.0,7,trousers,0.8,312,168,167,587,39,241,93,322,[     214.27      217.82      219.26],2
a1d577ea-fadb-4c9f-bc8f-fbb2df5db5fd,testvideo.mp4,480,854,3.5,7,trousers,0.87,19,217,161,472,28,193,114,254,[     213.92      222.62      229.12],1
54f44011-e4da-4a81-8c39-491d481910a9,testvideo.mp4,480,854,3.5,10,long sleeve dress,0.76,19,217,161,472,2,58,147,179,[     128.87         157      187.52],1
69f02369-d853-4aa7-932d-d37ed28c5700,testvideo.mp4,480,854,3.5,7,trousers,0.87,314,162,165,591,21,235,112,333,[     213.84      216.88      217.08],2
f93a07ee-525c-446e-a26d-b483b5686700,testvideo.mp4,480,854,4.0,1,long sleeve top,0.9,29,214,169,475,13,63,156,180,[      183.4      217.36      230.31],1
32b7cb49-ae5d-4eaa-b8b2-d5605438a670,testvideo.mp4,480,854,4.0,7,trousers,0.87,29,214,169,475,15,193,122,254,[     213.66      222.71      229.68],1
c70705c8-bd8e-4473-9a63-66997dda0a87,testvideo.mp4,480,854,4.0,1,long sleeve top,0.89,303,166,177,586,9,79,167,219,[      213.8      215.17      177.71],2
0d92b9a0-f06a-483c-a5c7-cd8b77e131ca,testvideo.mp4,480,854,4.0,7,trousers,0.89,303,166,177,586,12,238,139,326,[     213.05      217.54      219.53],2
9c59defd-8bf7-4cf9-bf5d-ba7df7ed7971,testvideo.mp4,480,854,4.5,7,trousers,0.86,17,214,186,475,42,198,97,269,[     209.37      218.63      225.89],1
756a7aa8-b301-4715-afe6-f1f76ed949da,testvideo.mp4,480,854,4.5,10,long sleeve dress,0.78,270,169,195,582,4,54,186,220,[      217.3      218.73      182.48],2
78c50277-0160-443c-b642-92aab3f5cc6a,testvideo.mp4,480,854,5.0,1,long sleeve top,0.94,22,216,170,482,26,62,134,177,[     44.666      4.8998      198.48],1
c3314ff7-008e-4a4d-a24e-9b04584e337e,testvideo.mp4,480,854,5.0,7,trousers,0.89,22,216,170,482,31,197,103,246,[     208.77      204.48      212.46],1
839c33e6-fd8b-447b-8c26-82e68dc1627b,testvideo.mp4,480,854,5.0,7,trousers,0.85,244,188,189,568,35,250,136,277,[     225.54      219.84      225.81],2
02ba350c-9ef7-4dcd-b9a2-46723d17f096,testvideo.mp4,480,854,5.5,0,short sleeve top,0.64,21,222,176,463,7,58,167,166,[     42.535      4.9385      195.82],1
db5cb8c7-d429-49d1-b2a6-b15d3b6125f6,testvideo.mp4,480,854,5.5,7,trousers,0.9,21,222,176,463,50,189,97,227,[     207.65      200.24       209.4],1
6e2c8ee9-f070-4191-b733-69501ec7025d,testvideo.mp4,480,854,5.5,1,long sleeve top,0.79,237,188,187,563,0,51,186,235,[     88.991       62.68      44.654],2
8fb44dda-1828-4ce2-a62b-17c0033a7ed6,testvideo.mp4,480,854,5.5,7,trousers,0.88,237,188,187,563,32,241,116,265,[     193.05      186.23      193.68],2
7a042676-10c3-486f-9de9-3dd0bde91f51,testvideo.mp4,480,854,6.0,1,long sleeve top,0.94,24,215,166,478,0,61,159,178,[     42.139      4.1816      194.03],1
9aa6657d-4c79-473d-92d8-8f6a5616edd1,testvideo.mp4,480,854,6.0,7,trousers,0.9,24,215,166,478,48,199,104,248,[     216.72      210.89       218.1],1
c02934f1-31e1-4f82-aded-4fb3d19c8198,testvideo.mp4,480,854,6.0,1,long sleeve top,0.92,249,173,191,571,7,65,182,239,[     86.912      59.414      40.182],2
65d73130-3684-4b73-91a7-2842f91e2186,testvideo.mp4,480,854,6.0,7,trousers,0.92,249,173,191,571,24,249,135,267,[      124.4       97.93      74.292],2
f826ca2f-56fd-4aac-93e9-7ce9431c7256,testvideo.mp4,480,854,6.5,1,long sleeve top,0.84,23,215,162,483,0,65,154,177,[     44.339      5.8635       197.5],1
001c42f8-a8b9-49ce-ad69-ef824e67cab2,testvideo.mp4,480,854,6.5,7,trousers,0.9,23,215,162,483,40,208,119,224,[     214.79      209.21      216.35],1
177eb11f-66a0-4c5f-9351-5c901ea421ee,testvideo.mp4,480,854,6.5,1,long sleeve top,0.92,237,158,197,599,1,69,193,244,[     86.032      60.309      42.777],2
0631051c-38a9-4b95-b0c1-4a82bdb00116,testvideo.mp4,480,854,6.5,7,trousers,0.92,237,158,197,599,28,261,153,289,[        116      92.692       74.54],2
4e8051c0-fcb1-482f-82c0-8c2a07676b75,testvideo.mp4,480,854,7.0,1,long sleeve top,0.93,29,231,161,469,1,73,153,176,[     42.918      5.1502      196.02],1
6a57e9d7-7d9f-470e-8712-b099eb0d8725,testvideo.mp4,480,854,7.0,7,trousers,0.92,29,231,161,469,38,207,123,226,[     211.98       207.3      215.45],1
5e0fd3b4-34b0-4f3b-8460-660b5eeb9ad4,testvideo.mp4,480,854,7.0,1,long sleeve top,0.92,242,166,202,596,6,87,195,246,[     85.366      58.798       40.35],2
676ebf80-0242-422e-9633-6d735d2cede8,testvideo.mp4,480,854,7.0,7,trousers,0.83,242,166,202,596,24,272,168,276,[      111.7      89.399      72.616],2
7f4be5fa-6aef-44a8-a644-0e5b37803eaf,testvideo.mp4,480,854,7.5,1,long sleeve top,0.89,28,229,161,478,2,58,138,183,[     114.01      133.56      126.54],1
27194b38-292f-4e52-91bf-5f36b1aaed51,testvideo.mp4,480,854,7.5,7,trousers,0.8,28,229,161,478,34,193,113,253,[     219.53       215.1      220.07],1
0b48a626-8f97-40e8-ac12-0a3dda178cf0,testvideo.mp4,480,854,7.5,1,long sleeve top,0.93,234,180,207,599,0,81,206,206,[      220.3      215.24      223.75],2
d3714817-3590-4979-8347-a8a6e4d7d2ca,testvideo.mp4,480,854,7.5,7,trousers,0.92,234,180,207,599,29,252,178,328,[     78.753      78.343      54.676],2
8da8d4d0-1a3c-4f9b-b41e-7b98c759ade0,testvideo.mp4,480,854,8.0,0,short sleeve top,0.8,27,226,167,474,2,49,163,181,[     52.455      50.488       48.31],1
64bd9324-c517-492d-a87a-f05bdbe68129,testvideo.mp4,480,854,8.0,7,trousers,0.9,27,226,167,474,32,182,97,244,[     218.53      212.63      217.64],1
eab68f79-3bc3-404b-9f26-d3c000c14ac0,testvideo.mp4,480,854,8.0,1,long sleeve top,0.93,241,173,204,576,5,61,198,200,[     227.55       221.1      226.92],2
8f2cb5f8-a718-4c7f-9062-fae879ef920a,testvideo.mp4,480,854,8.0,7,trousers,0.92,241,173,204,576,36,229,137,300,[     114.01      119.33      80.383],2
a7fa4483-ac22-4d0e-bdb7-0f0ccff2a662,testvideo.mp4,480,854,8.5,1,long sleeve top,0.84,22,210,166,483,0,58,159,186,[     49.342      51.013      46.453],1
47fe0c28-37e2-4bb9-9626-b03e3c86bc4a,testvideo.mp4,480,854,8.5,7,trousers,0.93,22,210,166,483,33,192,120,248,[     217.87      211.29       216.3],1
